	review
105	Today while at work I ordered a pizza... I was unable to locate the pizza coupon I sought and therefore called the actual store. When calling after a brief hold I was able to place my order accordingly. The customer representative even recognized my employer's business number and provided awesome customer service. About 10 mins later I was able to arrive at this location for pick-up and the order was ready to be received in a timely fashion. Upon arriving back at my employer and having the Pie in hand I sat down to enjoy this amazing looking pizza. I ate approximately 2 slices and was about to have my 3rd (as I was going to bring the rest home to my children) & it happened... Something fell off the slice while eating! At first I assumed it was a mushroom but the texture and lightness as it fell caused for a closer inspection.
106	Domino's review. It has really poor service, we didn't get any oregano and chili flakes, it has been almost a year since we always ask the delivery guy but every time the excuse is that it's out of stock, we're tired of this. So please look up to it.
107	Worst as your quality is going down day by day. I received even not proper baked pizza. No cheese, plain bread even the toppings are not best. I will not recommend anyone your brand as it's going down day by day.
108	Half of the pizza was more crust than anything and what would be called a slice of pizza was actually maybe 2 bite's because like I stated it was more crust than pizza. Delivery person was very nice. Just won't be ordering again.
109	"Soooo we ordered a pizza through the app. Last night and after the order we waited 2 hours for this pizza to show up instead of the 30 to 45 min. Wait time, so we decide to call them and asked where our order was at, the manager, rude as hell too, said in a ** attitude say ""your order is out for delivery, I don't know when it will show up."" Then hung up on me. So I called them back like wtf when will it get here? He proceeded to ask what time I ordered, so I checked the app, it won't tell me, so I check on my card to see what time and I find out they charge me $50 for 2 large pizzas, so I told them to void the order and refund me. 24hrs later no refund, talked to the GM, he's pretty much ignoring me, my account is now in the negatives and no food. We do not own a vehicle and we just moved into our own place, so we have no food, she is also pregnant like wtf give me our money back so we can eat."
110	I called my order in for a medium pizza and an order of garlic knots at 9:00 pm and I called at 10:00 pm and I was told my order did not exist. I then re-ordered my pizza and garlic knots at that time, and it is currently 11:10 pm and I still do not have my order yet. Both times I was told it would be a 30 mins for my order to arrive, and both times they told me they were busy. This is completely ridiculous for a medium pizza and an order of garlic knots to be delivered to a hotel across the street from the Dominos building. I will never order from them again. Very dissatisfied with the service from the Dominos in Minocqua, Wisconsin.
111	Placed the order for pick up because deliveries are taking over 2-3 hours and upon arrival, the manager ** said she has no order. Although, I showed her my phone with the pizza tracker stating that order was ready for pick up... She said that they did not made it and that they turned off the ovens...She was very rude...When asked about her name she said Yakira the manager and you can call 1800 Domino's to complain if you want. Closed the door on me and co worker showed the middle finger at me through the glass. Asked to do it again to record it and they both laughed. I never felt so humiliated and mistreated in my whole life by a manager and her employee.
112	I put in the directions to be contactless. The guy knocked on the door, I went to get it and he was still there. He had me sign the receipt and handed me the food. I paid online so it would be contactless.
113	The noodles were hard and very little sauce. I have always had good service until now. This was something. I would not feed my dog. I wish I could submit a picture. We are out of town and hoping to eat after 6 hours of driving. Sitting down to this makes me never want to order from there again.
114	The Pizza was essentially uneatable and they didn't want to do anything, they didn't want to do anything. Total disappointment.... They need to reevaluate their business solution as I am in business in all counties of Florida as I am a State licensed contractor and this is unacceptable. Thank you. :-)
115	I have been a fan of Domino's Pizza for years. As long as you're testing driverless delivery I will not use your product again. These are jobs the American people need who's going to buy your product if no one has a job. I will also do my best to discourage as many people as I can not to use your product as long as you replace human jobs with computers. I am not alone in this. Millions of Americans feel the way I do... I will pay the extra cost for my pizza to have it delivered by a human..
116	Ordered two medium pizzas. It took an hour and a half. The pizza was cold, the tip amount included percent based on delivery fee and tax as well. $50 and cold pizza. Ummm..no. Never again. Keep your pizza.
117	I called the 352-867-5900 and placed my order via phone. Was not given an order #. Among my orders, I requested a Build A Pasta Primavera and to add Italian Sausage (always paid the difference). When I called back to speak with a supervisor Rebecca answered first, then supervisor Julie was rude on the phone, sounded rushed and gave an excuse that we called the call center, and they are the only ones that have this problem, frustration & harsh tone over phone. This is not professional and it is NOT my problem that she has to explain this to every customer who calls. I advised her that she sounds upset and her response was I talk to much and she was cancelling my order. 
118	Order a Philly cheese steak Pizza. When my order arrive it was a Philly cheese steak with marinara sauce. Call back to explain what was going on and was hung up on the manager in charge. I miss the Charles. I think this was very non-professional and I think that they should be made to make orders right when they mess up. My receipt indicated that I ordered a Philly cheese steak. It said nothing about a Philly cheese steak with marinara sauce. This Domino's is located in Newnan Georgia on West Washington Street. I do not recommend anyone order there.
119	I ordered several things from Domino's last night for my son who had some friends over. The delivery never came. I realize it was a busy day but a phone call would have been the professional way to communicate the inability to fulfill the request. My card was charged and they just never showed up. I had to call today to request a refund. We have been good customers of Domino's but there are plenty of other options. I will not be ordering from them again.
120	Dear Public,
121	I placed a pizza order online like I've done a thousand times before. The system then asked to update my zip code. Which I did. It then confirmed the order. Then I got a text from my bank as I always do. But it said that I had been charged twice. Once on the initial order, then again after I updated the zip code. I called the store but they could do nothing anything about it. So I cancelled the order. Now I have go through the hassle of getting 2 refunds. Too easy just to buy pizza somewhere else.
122	We ordered from the Domino's Stayton Oregon, first off they forgot one of our pizzas and second thing is HE LEFT OUR PIZZA ON THE GROUND! Who does that? I will never be ordering from Domino's again. Way too expensive for such horrible service.
123	I love Domino's. Their pizza is very good but I hate it when my pizza is so saucy. Today I ordered and had to throw mine into the trash because of 2 reasons. So saucy and they gave me a ingredient that was so spicy but their pizza is very good. You should give them a try.
124	I love Domino's Pizza but today it was hot so I parked my car in way that I can have shed since my kid bleed sometime in sunlight. It was taking 2 car space but it is not crime and all parking lot was empty. I felt 4 cars can be parked but a arrogant driver treated me in such way that I was his servant, I told him only 2 mins more I am going and it's not fire exit or I have not destroyed anything but he was so much arrogant (feels like he was paying for my pizza). Domino's should take action as what he is misbehaving with me without thinking how he should behave with customers and I am thinking how he treats old people and disable people who take time to take delivery.
125	We placed and order for a philly cheese steak sandwich and Chicken parm sandwich. After about an hour, I received a call from Domino`s Pizza. I was told my order is going to take about 2 to 3 hours. I asked can I pick it up. I was told I can and it's ready. I arrived 10 minutes later only to find it was not ready. 20 minutes later, I received the food. Arrived home and took a bite out of my sandwich only to find almost nothing on it. burnt bread and a very few dried out onions. Most at the bottom of the box. My wife chicken parm was the same way. Little on her sandwich and the bread was burnt and dried out like mine. Old bread? Do yourself a favor and buy your pizza from a real pizzeria. Small sandwiches with hardly nothing for top dollar.
126	Ordered 2 med cheese pepperoni and onion pizzas. Went to store to pick it up. Got home and the pizza was burnt, cheese looked like it was sitting for hours,   most disgusting pizza ever. Lost my business.
127	I recently found out that Domino's has been selling everyone's personal data to 3rd party companies. I received an email asking me if I wanted to opt out and that is how I found out. I should not have to opt out because when I created the account with them It was understood that I was doing business with them and nobody else. This is pretty unprofessional of any company doing this without letting you know what they are doing. If you have an account with Domino's then your data has already been sold. I am done buying anything from Domino's and hope they learn their lesson betraying their customers. John in Wichita KS.
128	I have noticed that when I order online, more and more items that are normally included are left out by default, for example, marinara sauce with garlic parmesan bread bites. It is a no extra charge option, but it used to be selected by default, so if you are not paying close attention to the order, it will be missing something you expect to get.
129	Domino's Pizza Domino's Pizza Pittsburgh Pennsylvania... MOEL the manager. East Carson. He canceled our order because our telephone number had not been updated and the driver was afraid to knock on our front door. We live in a peaceful neighborhood and have spent thousands of dollars over 5 years with this specific chain. An hour and a half in to not receiving our order which included a free pizza, I called and he stated that the driver would be there in 5 minutes. 
130	Love the parmesan garlic sauce! Please do more Noid commercials! Love it! He is hilarious in all your commercials. I'm very happy you brought him back. It signifies Domino's. I will continue to order your pizza.
131	Best Pizza Ever!
132	OMG I love this Pizza so much! 
133	I am a huge fan. Mouth watering sauces.
134	Took my kids here and they ate so much. They love this place
135	I wouldn't mind coming here three times a day. Delicious everything
136	Dominos rocks. I really enjoyed eating her
137	This is a beautifully run franchise. The customer service is excellent.
138	I will definitely be coming back. They make their pizza great by adding a ton of toppings. Super yummy.
139	Dominos has great pizzas and fast delivery. I love how close it is to my home.
140	Everyone loves pizza, but this dominos is even better because they have such fantastic service
141	I love dominos so much. Way better than competitors like Pizza Hut and Papa Johns. I will definitely be coming back for more delicious pizza.
142	Their pizza tastes really good and they offer great deals. I am very happy to give them my business.
143	They serve the best cinnamon twists. Their cheese stuff breads are awesome too!
